RANGLISTE DATENSATZ 1,
,
Rang,Temperatur
1,0
2,19.91
3,20
4,20.02
5,20.03
6,20.08
7,20.11
8,20.13
9,20.14
10,20.14
11,20.14
12,20.14
13,20.15
14,20.15
15,20.21
16,20.21
17,20.24
18,20.24
19,20.27
20,20.32
21,20.33
22,20.33
23,20.37
24,20.37
25,20.38
26,20.41
27,20.43
28,20.44
29,20.48
30,20.49
31,20.51
32,20.52
33,20.53
34,20.59
35,20.65
36,20.67
37,20.72
38,20.72
39,20.72
40,20.73
41,20.74
42,20.82
43,21.09
