Rangliste DATENSATZ 2,
,
Rang,Temperatur (°C)
1,19.91
2,20
3,20.02
4,20.03
5,20.08
6,20.1
7,20.14
8,20.14
9,20.14
10,20.14
11,20.15
12,20.15
13,20.21
14,20.21
15,20.24
16,20.24
17,20.27
18,20.32
19,20.33
20,20.33
21,20.37
22,20.37
23,20.38
24,20.4
25,20.43
26,20.44
27,20.48
28,20.49
29,20.52
30,20.53
31,20.65
32,20.67
33,20.7
34,20.73
35,20.74
36,20.8
37,21.09
