Rangliste DATENSATZ 2,
,
Rang,Temperatur (°C)
1,19.91
2,20
3,20.02
4,20.03
5,20.08
6,20.11
7,20.14
8,20.14
9,20.14
10,20.14
11,20.15
12,20.15
13,20.2
14,20.21
15,20.21
16,20.24
17,20.24
18,20.27
19,20.32
20,20.33
21,20.33
22,20.37
23,20.37
24,20.38
25,20.41
26,20.43
27,20.44
28,20.48
29,20.49
30,20.52
31,20.53
32,20.65
33,20.67
34,20.7
35,20.73
36,20.74
37,20.8
38,21.09
